"","LOCATION","TIME","Value.x","Value.y"
"155",NA,"2018",22670.47239,84
"156",NA,"2018",43870.573521,84
"157",NA,"2018",43678.508915,84
"158",NA,"2018",29052.252126,84
"159",NA,"2018",39858.882825,84
"160",NA,"2018",28003.532585,84
"161",NA,"2018",46179.565768,84
"162",NA,"2018",47267.512993,84
"163","NLD","2015",50301.845624,95
"164","NLD","2016",52284.122623,94
"165","NLD","2017",55348.891835,93
"166","NLD","2018",57563.957867,93
"167","NOR","2015",60357.280505,95
"168","NOR","2016",58917.28833,96
"169","NOR","2017",62940.203039,96
"170","NOR","2018",67613.655116,96
"171","NZL","2015",37158.228941,93
"172","NZL","2016",39566.365389,92
"173","NZL","2017",40600.567624,93
"174","NZL","2018",41491.010258,92
"175","POL","2015",26529.036797,96
"176","POL","2016",27947.390312,96
"177","POL","2017",29801.809392,94
"178","POL","2018",31393.471089,93
"179","PRT","2015",29668.804155,98
"180","PRT","2016",31604.417531,98
"181","PRT","2017",33086.07203,98
"182","PRT","2018",34272.09358,99
"183","RUS","2015",24061.099218,98
"184","RUS","2016",24237.580018,98
"185","RUS","2017",26079.077239,98
"186","RUS","2018",28556.986394,98
"187","SVK","2015",29932.196336,95
"188","SVK","2016",29651.534784,95
"189","SVK","2017",30910.718734,96
"190","SVK","2018",32621.221032,96
"191","SVN","2015",31640.32549,94
"192","SVN","2016",33875.006579,92
"193","SVN","2017",36660.871569,93
"194","SVN","2018",38785.508635,93
"195","SWE","2015",48974.93343,98
"196","SWE","2016",50433.852154,97
"197","SWE","2017",52692.844717,97
"198","SWE","2018",53807.866963,97
"199","TUR","2015",25727.604649,97
"200","TUR","2016",26509.937205,98
"201","TUR","2017",28208.552414,96
"202","USA","2015",56770.417349,92
"203","USA","2016",57884.491072,92
"204","USA","2017",59984.093912,92
"205","USA","2018",62852.658229,92
"206","ZAF","2015",13344.636344,97
"207","ZAF","2016",13386.682735,96
"208","ZAF","2017",13578.139445,81
